county,fips,name,area_sqmi,land_area_acres,population,housing_units,households,svi,socioeconomic_svi,household_svi,racial_svi,housing_transport_svi,median_household_income,pc_poverty,pc_age_17_and_below,pc_latino,pc_limited_english,pc_born_central_america,median_household_income_relative,pc_age_17_and_below_relative,pc_poverty_relative,pc_latino_relative,pc_limited_english_relative,pc_born_central_america_relative,pounds_13d_2018_2022,pounds_chloropicrin_2018_2022,pounds_13d_per_100_acres_2018_2022,pounds_chloropicrin_per_100_acres_2018_2022,pounds_13d_per_1000_people_2018_2022,pounds_chloropicrin_per_1000_people_2018_2022
Siskiyou County,06093000600,Census Tract 6; Siskiyou County; California,211.965412266546,135657.710133915,1497,902,711,0.4479,0.506,0.6927,0.052,0.3387,52679,17.6,20.1,7.3,0,0,0.5731897067624178,1.6611570247933887,0.789237668161435,0.18387909319899243,0,0,,,,,,
Siskiyou County,06093000701,Census Tract 7.01; Siskiyou County; California,276.107921693856,176708.86965144,3638,1798,1601,0.5046,0.5471,0.4483,0.0276,0.6377,65944,11.9,17.6,8.6,0.3,0.6,0.7175235297317882,1.4545454545454548,0.5336322869955157,0.21662468513853902,0.033707865168539325,0.049586776859504134,,,,,,
Siskiyou County,06093000702,Census Tract 7.02; Siskiyou County; California,13.832095655756,8852.53118869,4059,1828,1662,0.7365,0.5746,0.7898,0.1954,0.9314,35909,20.7,27.1,21.6,0,0.3,0.3907186768946194,2.2396694214876036,0.9282511210762331,0.5440806045340051,0,0.024793388429752067,,,,,,
Siskiyou County,06093000703,Census Tract 7.03; Siskiyou County; California,1.943543259112,1243.86627638,3593,1578,1456,0.4671,0.4705,0.7027,0.0323,0.4509,52679,21.8,26.8,10,0,2.2,0.5731897067624178,2.2148760330578514,0.9775784753363229,0.2518891687657431,0,0.18181818181818185,,,,,,
Siskiyou County,06093000800,Census Tract 8; Siskiyou County; California,1237.080696458322,791730.748606155,3382,1659,1368,0.5666,0.5977,0.4903,0.0536,0.7198,59898,14.3,20,4.1,0.2,0.5,0.6517382079321038,1.6528925619834711,0.6412556053811659,0.10327455919395465,0.02247191011235955,0.04132231404958678,,,,,,
Siskiyou County,06093000901,Census Tract 9.01; Siskiyou County; California,119.178678473674,76274.267795135,4230,1998,1822,0.7272,0.7463,0.6597,0.1639,0.8105,54583,24.3,15.6,20.3,2.4,6.8,0.5939067515369131,1.2892561983471074,1.0896860986547086,0.5113350125944585,0.2696629213483146,0.5619834710743802,,,,,,
Siskiyou County,06093000902,Census Tract 9.02; Siskiyou County; California,117.69574679242,75325.19259455,3622,1719,1478,0.3502,0.4864,0.5141,0.0731,0.2225,71538,8.4,19.3,14.4,1.7,2.2,0.7783907295576954,1.5950413223140496,0.37668161434977576,0.36272040302267,0.19101123595505617,0.18181818181818185,,66951.39421328982,,88.88313711146616,,18484.647767335675
Siskiyou County,06093001001,Census Tract 10.01; Siskiyou County; California,52.616144258888,33674.29416862,1216,605,528,0.2954,0.2088,0.3347,0.009,0.6156,72105,3.6,27.3,5.3,0,0,0.7845601436265709,2.2561983471074383,0.16143497757847533,0.13350125944584382,0,0,,,,,,
Siskiyou County,06093001002,Census Tract 10.02; Siskiyou County; California,5.818191501406,3723.6383415650002,1397,956,723,0.261,0.3709,0.4278,0.0116,0.2116,77986,4.2,10.7,7.9,3.8,0.4,0.8485501332898101,0.884297520661157,0.18834080717488788,0.198992443324937,0.42696629213483145,0.03305785123966942,,,,,,
Siskiyou County,06093001003,Census Tract 10.03; Siskiyou County; California,98.563314309534,63080.449680285004,4209,2645,2176,0.4628,0.4003,0.589,0.0187,0.6331,48628,15.8,16,4.3,0.4,2.8,0.5291115826124803,1.322314049586777,0.7085201793721974,0.10831234256926951,0.0449438202247191,0.23140495867768593,,,,,,
