cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,co_mtrs,water_year,pounds_chloropicrin.x,intersection_acres,crops_acres,pounds_chloropicrin.y,intersection_fraction,pounds_chloropicrin_intersection
56725386110738,Active,No,Traditional,Elementary,Public,Emilie Ritchen Elementary,Oxnard,Ventura,2200 Cabrillo Way,Oxnard,CA,No,1,K-5,K-5,56S02N22W32,2018,35125.4245008,289.2548465963417,295.70737469107337,35125.4245008,0.9781793467225067,34358.96479154327
56725386110738,Active,No,Traditional,Elementary,Public,Emilie Ritchen Elementary,Oxnard,Ventura,2200 Cabrillo Way,Oxnard,CA,No,1,K-5,K-5,56S02N22W31,2018,30208.2348,46.41592589334131,463.56741861716563,30208.2348,0.10012767081819791,3024.6801900532305
56725386111850,Active,No,Traditional,Intermediate/Middle/Junior High,Public,R.J. Frank Academy of Marine Science & Engineering,Oxnard,Ventura,701 North Juanita Avenue,Oxnard,CA,No,1,6-8,6-8,56S02N22W35,2018,27977.4,75.41870242297296,75.41870242297028,27977.4,1.0000000000000355,27977.400000000995
56725386111850,Active,No,Traditional,Intermediate/Middle/Junior High,Public,R.J. Frank Academy of Marine Science & Engineering,Oxnard,Ventura,701 North Juanita Avenue,Oxnard,CA,No,1,6-8,6-8,56S01N22W02,2018,50883.8874075,0.7254550547566143,554.0077334213534,50883.8874075,0.0013094673792303651,66.630790688552
56725460115105,Active,Yes,Traditional,Elementary - High Combination,Public,Camarillo Academy of Progressive Education,Oxnard Union High,Ventura,777 Aileen Street,Camarillo,CA,No,1,K-12,K-12,56S02N21W35,2018,6844.14,28.378466884981243,268.8456229547261,6844.14,0.10555673762916427,722.4450902772684
56725465630389,Active,No,Traditional,High School,Public,Pacifica High,Oxnard Union High,Ventura,600 East Gonzales Road,Oxnard,CA,No,1,9-12,9-12,56S02N22W35,2018,27977.4,72.49096799032958,75.41870242297028,27977.4,0.9611802598217467,26891.324601136937
56725465631619,Active,No,Traditional,High School,Public,Adolfo Camarillo High,Oxnard Union High,Ventura,4660 Mission Oaks Boulevard,Camarillo,CA,No,1,9-12,9-12,56S01N20W06,2018,31472.558547200002,81.45884600251462,433.99945382335164,31472.558547200002,0.18769342976102074,5907.192457078497
56725465631619,Active,No,Traditional,High School,Public,Adolfo Camarillo High,Oxnard Union High,Ventura,4660 Mission Oaks Boulevard,Camarillo,CA,No,1,9-12,9-12,56S01N21W01,2018,13075.0427595,0.4645748981334154,570.7174022091648,13075.0427595,8.140191561272058e-4,10.643335273415323
56725465632849,Active,No,Traditional,High School,Public,Hueneme High,Oxnard Union High,Ventura,500 West Bard Road,Oxnard,CA,No,1,9-12,9-12,56S01N22W22,2018,10832.305,12.7538478772681,241.64780384638487,10832.305,0.05277866247597144,571.7145694317778
56725465634548,Active,No,Traditional,High School,Public,Oxnard High,Oxnard Union High,Ventura,3400 West Gonzales Road,Oxnard,CA,No,1,9-12,9-12,56S02N22W30,2018,27798.9273124,409.178614273624,423.0344310584025,27798.9273124,0.9672465979894067,26888.4178706737
56725465634548,Active,No,Traditional,High School,Public,Oxnard High,Oxnard Union High,Ventura,3400 West Gonzales Road,Oxnard,CA,No,1,9-12,9-12,56S02N22W32,2018,35125.4245008,278.5520858981864,295.70737469107337,35125.4245008,0.9419855902788723,33087.64373218205
56725465634548,Active,No,Traditional,High School,Public,Oxnard High,Oxnard Union High,Ventura,3400 West Gonzales Road,Oxnard,CA,No,1,9-12,9-12,56S02N22W31,2018,30208.2348,303.63716272188685,463.56741861716563,30208.2348,0.6550010862015386,19786.426606231118
56725465634548,Active,No,Traditional,High School,Public,Oxnard High,Oxnard Union High,Ventura,3400 West Gonzales Road,Oxnard,CA,No,1,9-12,9-12,56S02N22W19,2018,33008.3565138,25.6422037453011,254.60886347357828,33008.3565138,0.10071214095012088,3324.342253749666
56725465634548,Active,No,Traditional,High School,Public,Oxnard High,Oxnard Union High,Ventura,3400 West Gonzales Road,Oxnard,CA,No,1,9-12,9-12,56S02N23W36,2018,6027.8217222,0.105926300609762,214.4015840045757,6027.8217222,4.940555877959435e-4,2.9780790040906777
56725465634548,Active,No,Traditional,High School,Public,Oxnard High,Oxnard Union High,Ventura,3400 West Gonzales Road,Oxnard,CA,No,1,9-12,9-12,56S02N23W25,2018,53148.26,5.982605922714331,502.2943921943285,53148.26,0.011910556868012515,633.0253731659149
56725530110502,Active,No,Traditional,Elementary,Public,Rancho Rosal Elementary,Pleasant Valley,Ventura,3535 Village at the Park Drive,Camarillo,CA,No,1,K-5,K-5,56S02N21W36,2018,6015.6716668,9.66186431095489,67.6918662052328,6015.6716668,0.14273301731202673,858.6349681608331
56725530110502,Active,No,Traditional,Elementary,Public,Rancho Rosal Elementary,Pleasant Valley,Ventura,3535 Village at the Park Drive,Camarillo,CA,No,1,K-5,K-5,56S01N20W06,2018,31472.558547200002,201.70776172675386,433.99945382335164,31472.558547200002,0.4647650128353706,14627.344077151361
56725530110502,Active,No,Traditional,Elementary,Public,Rancho Rosal Elementary,Pleasant Valley,Ventura,3535 Village at the Park Drive,Camarillo,CA,No,1,K-5,K-5,56S01N21W01,2018,13075.0427595,140.66087244854887,570.7174022091648,13075.0427595,0.24646326168445348,3222.517685170067
56725536055396,Active,No,Traditional,Elementary,Public,Camarillo Heights Elementary,Pleasant Valley,Ventura,35 Catalina Drive,Camarillo,CA,No,1,K-5,K-5,56S02N21W13,2018,4879.5982272,5.3286539420388666,274.36961890167896,4879.5982272,0.019421443100624065,94.76883932347086
56725536055404,Active,No,Traditional,Elementary,Public,Dos Caminos Elementary,Pleasant Valley,Ventura,3635 Appian Way,Camarillo,CA,No,1,P-5,K-5,56S02N20W19,2018,564,119.58491028220645,119.58491028220165,564,1.0000000000000402,564.0000000000226
56725536055404,Active,No,Traditional,Elementary,Public,Dos Caminos Elementary,Pleasant Valley,Ventura,3635 Appian Way,Camarillo,CA,No,1,P-5,K-5,56S02N20W17,2018,346.5,1.7865201721206436,332.9999948079576,346.5,0.005364925525452146,1.8589466945691686
56725536055404,Active,No,Traditional,Elementary,Public,Dos Caminos Elementary,Pleasant Valley,Ventura,3635 Appian Way,Camarillo,CA,No,1,P-5,K-5,56S02N21W13,2018,4879.5982272,6.593367194816854,274.36961890167896,4879.5982272,0.024030966771068057,117.2614628540058
56725536055412,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Pleasant Valley School of Engineering and Arts,Pleasant Valley,Ventura,700 Temple Avenue,Camarillo,CA,No,1,P-8,K-8,56S02N21W35,2018,6844.14,0.9431511325058082,268.8456229547261,6844.14,0.003508151340312637,24.010278914287333
56725536055461,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Monte Vista Middle,Pleasant Valley,Ventura,888 North Lantana Street,Camarillo,CA,No,1,6-8,6-8,56S02N21W36,2018,6015.6716668,4.441843199860654,67.6918662052328,6015.6716668,0.0656185661419582,394.7397491562197
56725536055461,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Monte Vista Middle,Pleasant Valley,Ventura,888 North Lantana Street,Camarillo,CA,No,1,6-8,6-8,56S02N21W35,2018,6844.14,123.97999940467496,268.8456229547261,6844.14,0.46115684548657626,3156.2220124684964
56725536112171,Active,No,Traditional,Elementary,Public,Tierra Linda Elementary,Pleasant Valley,Ventura,1201 Woodcreek Road,Camarillo,CA,No,1,K-5,K-5,56S02N20W19,2018,564,12.372073868631128,119.58491028220165,564,0.10345848685620095,58.350586586897336
56725610112631,Active,No,Traditional,Elementary,Public,Rio Del Mar,Rio Elementary,Ventura,3150 Thames River,Oxnard,CA,No,1,K-5,K-5,56S02N22W23,2018,54145.74,69.74708364411497,298.42720054827515,54145.74,0.23371557122130465,12654.702553300243
56725610112631,Active,No,Traditional,Elementary,Public,Rio Del Mar,Rio Elementary,Ventura,3150 Thames River,Oxnard,CA,No,1,K-5,K-5,56S02N22W11,2018,40095,0.38867936807460574,125.41114867207614,40095,0.003099240954174822,124.2640660576395
56725610112631,Active,No,Traditional,Elementary,Public,Rio Del Mar,Rio Elementary,Ventura,3150 Thames River,Oxnard,CA,No,1,K-5,K-5,56S02N22W10,2018,20586,9.761839669153497,117.38630785452042,20586,0.08315995151028663,1711.9307617907605
56725610112631,Active,No,Traditional,Elementary,Public,Rio Del Mar,Rio Elementary,Ventura,3150 Thames River,Oxnard,CA,No,1,K-5,K-5,56S02N22W14,2018,60088.6065977,225.98701215092387,383.1681811386052,60088.6065977,0.5897854343734679,35439.384943120924
