cds_code,school,district,enroll_total,pounds_0.25,pounds_1
06615980631259,Colusa High,Colusa Unified,430,,6.479741031870573
37684376040562,Vallecitos Elementary,Vallecitos Elementary,178,,6.4543039557074335
39685933932001,East Union High,Manteca Unified,1641,,6.101437244918514
39685936104533,Neil Hafley Elementary,Manteca Unified,727,,6.101437244918514
50712826098297,George Eisenhut Elementary,Stanislaus Union Elementary,530,,5.825904871079441
50711676052773,James Marshall Elementary,Modesto City Elementary,683,,5.756275725432582
39685850108209,Ellerth E. Larson Elementary,Lodi Unified,810,,5.708797760711629
50755560112573,Adelante High,Riverbank Unified,57,,5.621159486585702
50755566052989,Cardozo Middle,Riverbank Unified,508,,5.621159486585702
52714726066328,Berrendos Middle,Antelope Elementary,255,0.012669746933697306,5.562975627775502
10624146007157,John S. Wash Elementary,Sanger Unified,741,,5.076742200773514
16747081690015,Kings County ROP,Kings County ROP,,,4.951126349748436
51713816053250,Franklin Elementary,Franklin Elementary,476,,3.016894506664963
10621666006548,Vinland Elementary,Fresno Unified,467,,2.7845844067335745
16639176113609,Martin Luther King Jr. Elementary,Hanford Elementary,608,,2.5818406990211207
33672156032536,Alcott Elementary,Riverside Unified,649,,2.0706883981425594
10621170139766,Janet L. Young Elementary,Clovis Unified,639,,1.8126442195262726
10621176005904,Sierra Vista Elementary,Clovis Unified,484,,1.4118629640625935
33672156032635,Highland Elementary,Riverside Unified,613,,1.3817332152677453
43695830102368,Ann Sobrato High,Morgan Hill Unified,1544,,1.3807738291356821
06615980630046,Colusa Alternative Home,Colusa Unified,66,,1.1890075631675645
39686766042618,Harrison Elementary,Stockton Unified,623,,1.073676772872422
50757396118814,Marvin A. Dutcher Middle,Turlock Unified,783,,1.061633576488049
58105876069249,Yuba County Special Education,Yuba County Office of Education,165,,0.9686614751848074
50755566052971,California Avenue Elementary,Riverbank Unified,598,,0.7760228616330607
54722566054605,Green Acres Middle,Visalia Unified,716,,0.688646880842284
16639251630169,Hanford West High,Hanford Joint Union High,1330,,0.47810338412143444
50710436112346,Blaker-Kinser Junior High,Ceres Unified,643,,0.43388420042936
24102492430171,Valley Atwater Community,Merced County Office of Education,10,,0.21583270925577905
39686766042758,Roosevelt Elementary,Stockton Unified,357,,0.1598594386254986
39686766042576,Fillmore Elementary,Stockton Unified,621,,0.12366990661115797
56725530101378,Las Colinas Middle,Pleasant Valley,734,,0.10961896193581672
56725796055537,Santa Clara Elementary,Santa Clara Elementary,55,,0.07652248915104179
