cds_code,school,district,enroll_total,pounds_0.25,pounds_1
42691206046049,Oakley (Calvin C.) Elementary,Santa Maria-Bonita,844,1659.939173178695,42441.15856054236
27738256026421,North Monterey County Middle,North Monterey County Unified,647,468.8814690493949,42386.68138657755
34322765637780,Mary B. Perry High,California Education Authority (CEA) Headquarters,71,3125.998603550172,41786.23607076646
24656496025399,Cressey Elementary,Ballico-Cressey Elementary,46,2008.9267406548456,41466.396431491936
44697994437794,Renaissance High Continuation,Pajaro Valley Unified,90,5883.101902876474,41255.58407110452
24657892430205,Buhach Colony High,Merced Union High,1827,6310.56077775945,41124.878572609
54719696054126,Kings River Elementary,Kings River Union Elementary,380,4022.4173430467426,41045.342409264646
27661426066963,University Park Elementary,Salinas City Elementary,493,4005.38415132673,40595.3866738242
42693104234613,Ernest Righetti High,Santa Maria Joint Union High,2520,,40528.683521645806
44697996049720,Linscott Charter,Pajaro Valley Unified,253,,40430.7701914038
56725530110502,Rancho Rosal Elementary,Pleasant Valley,554,,40285.63869040641
50712176052922,Grayson Elementary,Patterson Joint Unified,270,2836.9775729389826,40060.278150321916
50710506052484,Chatom Elementary,Chatom Union,380,6019.546779054156,39897.64350416162
50710430123679,Cesar Chavez Junior High,Ceres Unified,640,,39851.14986700237
27738256026447,Prunedale Elementary,North Monterey County Unified,637,42.35713157239496,39818.52571614768
50710430110734,La Rosa Elementary,Ceres Unified,611,,39791.93861353988
39686506042485,Ripona Elementary,Ripon Unified,450,,39670.642555353035
27661592730109,Alisal High,Salinas Union High,3008,225.49737827495102,39591.3044402725
51714646053359,Barry Elementary,Yuba City Unified,550,3136.488011946429,39512.39279055124
40687596043053,Harloe Elementary,Lucia Mar Unified,587,732.5044449902203,39444.99551391579
52714726053466,Antelope Elementary,Antelope Elementary,474,349.28378060607486,39233.63295626477
27661910107391,New Republic Elementary,Santa Rita Union Elementary,564,1140.3296593058203,39026.47385790335
27738256026413,Elkhorn Elementary,North Monterey County Unified,558,3023.2336622302223,38669.0414696305
50712740121558,Shiloh Charter,Shiloh Elementary,148,1884.1737656460677,38424.42719294345
50712746053045,Shiloh Elementary,Shiloh Elementary,30,1884.1737656460677,38424.42719294345
10621096005839,Clay Elementary,Clay Joint Elementary,250,1627.6160983526663,38222.813530504776
27660276026108,Graves Elementary,Graves Elementary,35,1203.5723912021397,38166.23674530346
27661916120224,McKinnon,Santa Rita Union Elementary,377,849.0787216023393,38147.73918699035
50711346052591,Keyes Elementary,Keyes Union,496,275.3368729027811,37462.285765445675
50711346113286,Keyes to Learning Charter,Keyes Union,336,275.3368729027811,37462.285765445675
39685856098057,Victor Elementary,Lodi Unified,164,2297.968195369086,37328.63689693014
15735446010011,Rio Bravo-Greeley Elementary,Rio Bravo-Greeley Union Elementary,434,17986.061662534805,37012.33761993315
15735446117816,Rio Bravo Elementary,Rio Bravo-Greeley Union Elementary,552,17986.061662534805,37012.33761993315
39686506106322,Weston Elementary,Ripon Unified,457,258.7104340330981,36501.78123397756
50710430109074,Joel J. Hidahl Elementary,Ceres Unified,428,3604.4454030892293,36248.45724851953
24656316025316,Aileen Colburn Elementary,Atwater Elementary,416,1419.6099152291085,36204.16023489375
10623236006993,Monroe Elementary,Monroe Elementary,156,3316.306445799207,35926.862662659594
24736196103766,Gustine Middle,Gustine Unified,387,5862.11845249159,35717.51708045696
24657486025506,Campus Park Elementary,Livingston Union,446,,35555.01569087663
56725380100362,Thurgood Marshall Elementary,Oxnard,779,,35352.76756264883
39754996110530,Louis A. Bohn Elementary,Tracy Joint Unified,358,1984.5110862440513,34965.93382852066
10624146007116,Del Rey Elementary,Sanger Unified,247,1270.084095349106,34871.09315771703
40687596043095,Oceano Elementary,Lucia Mar Unified,379,20.361007638221267,34603.99072334538
06616146103576,Lloyd G. Johnson Junior High,Pierce Joint Unified,328,,34567.86418964736
10739990123596,Goldenrod Elementary,Kerman Unified,816,4276.56579008712,34170.809470489
24657716025621,Franklin Elementary,Merced City Elementary,588,4080.759334987858,34104.631700962935
10623566007025,Pacific Union Elementary,Pacific Union Elementary,349,2586.8808395291762,33980.10910613747
24657486025514,Livingston Middle,Livingston Union,796,2134.8892345770914,33877.096178978216
10623646007058,Cesar E Chavez Elementary,Parlier Unified,441,1944.6916626803827,33810.83389197417
50712666106934,Sisk Elementary,Salida Union Elementary,293,372.62723463963675,33512.29287663339
50105045030069,Stanislaus County West Campus,Stanislaus County Office of Education,55,,33463.56284916645
50105045030226,Petersen Alternative Center for Education,Stanislaus County Office of Education,109,,33463.56284916645
16639416010474,Kings River-Hardwick Elementary,Kings River-Hardwick Union Elementary,815,3603.851135918974,33363.66276129793
27661426026553,Loma Vista Elementary,Salinas City Elementary,463,,33327.49300288927
50711676107023,Alberta Martone Elementary,Modesto City Elementary,655,1955.5570519895782,32753.17849857911
39685776041966,Glenwood Elementary,Linden Unified,405,1293.3404385494885,32643.66532604172
42692290100651,Mission Valley,Lompoc Unified,100,,32472.317348819095
42692296045629,La Honda STEAM Academy,Lompoc Unified,495,,32472.317348819095
10622650116657,Silas Bartsch,Kings Canyon Joint Unified,611,8934.261962567763,32394.147783776767
42692606045736,Alice Shaw Elementary,Orcutt Union Elementary,485,,32304.57389576151
42691206109268,Ontiveros (Juan Pacifico) Elementary,Santa Maria-Bonita,850,,32126.594216940786
51713996053268,Encinal Elementary,Live Oak Unified,108,1353.0420464410674,32114.475906630807
24656316025365,Shaffer Elementary,Atwater Elementary,503,,32106.399194311052
44697996049688,E. A. Hall Middle,Pajaro Valley Unified,601,,32041.780843907865
44772480138909,Watsonville Prep,SBE - Watsonville Prep,308,,32006.906819742475
10101081030337,Alice M. Worsley,Fresno County Office of Education,120,2836.634931283783,31943.106412687077
10622656088959,Great Western Elementary,Kings Canyon Joint Unified,322,2354.6861057299075,31914.12088690878
50757395030283,John H. Pitman High,Turlock Unified,2076,137.143978465458,31780.950965579334
27659616025977,Alisal Community,Alisal Union,562,,31718.54180842584
50710436112338,Samuel Vaughn Elementary,Ceres Unified,580,,31711.437100938023
50712666113823,Dena Boer,Salida Union Elementary,461,2280.280668107312,31352.219829757334
06616140630087,Arbuckle Alternative High (Continuation),Pierce Joint Unified,13,,31148.998102660596
06616140635250,Pierce High,Pierce Joint Unified,499,,31148.998102660596
24736196025720,Gustine Elementary,Gustine Unified,530,1869.0264878738942,31084.55763402832
10739656006910,Madison Elementary,Central Unified,389,2576.7356766840935,30944.86173788628
40687596043079,Fairgrove Elementary,Lucia Mar Unified,392,1.2502418204045878,30781.285656690798
10739656006662,Houghton-Kearney Elementary,Central Unified,201,318.99389531000554,30638.93551439176
50710430108076,Central Valley High,Ceres Unified,2260,2630.769184394626,30584.80298664221
44697994430229,Pacific Coast Charter,Pajaro Valley Unified,169,339.05084876536057,30386.4320443435
42691206107007,Battles (Washington) Elementary,Santa Maria-Bonita,690,,30352.97957522598
40687594030557,Arroyo Grande High,Lucia Mar Unified,2077,9138.90181986685,30231.132814859382
44697990117804,Ceiba College Preparatory Academy,Pajaro Valley Unified,511,,30214.020656036097
15634876009534,General Shafter Elementary,General Shafter Elementary,190,3239.5278718994964,30118.9364973938
54722490116368,Mission Oak High,Tulare Joint Union High,1613,4601.518523214324,30033.410551581255
54722490133793,Accelerated Charter High,Tulare Joint Union High,173,214.88691999181077,29886.306566943116
50710840120089,Gratton Charter,Gratton Elementary,126,2821.1590640337454,29655.69248803739
50710846052534,Gratton Elementary,Gratton Elementary,16,2821.1590640337454,29655.69248803739
10621586006027,Fremont Elementary,Fowler Unified,440,459.4972402928247,29612.907906692213
39754993938008,Tracy High,Tracy Joint Unified,1803,,29350.694729015027
27659616117691,Oscar F. Loya Elementary,Alisal Union,628,1015.609994277942,29027.898128582285
24657486109649,Yamato Colony Elementary,Livingston Union,620,988.8343973445117,28925.934062155888
42691200102855,Kunst (Tommie) Junior High,Santa Maria-Bonita,992,,28732.565382073008
42691200131623,Jiménez Roberto and Dr. Francisco Elementary,Santa Maria-Bonita,1020,106.29792971606196,28519.952049349915
50710685030267,Denair Charter Academy,Denair Unified,182,3219.5408536014747,28431.92328667698
50710685031521,Denair High,Denair Unified,285,3219.5408536014747,28431.92328667698
50710686071575,Denair Middle,Denair Unified,232,3219.5408536014747,28431.92328667698
20651930113076,Ronald Reagan Elementary,Chowchilla Elementary,460,,27906.413874659534
20102072030054,Enterprise Secondary,Madera County Superintendent of Schools,,7453.4579136461525,27876.905692943834
20102072030153,Juvenile Hall (Endeavor/Voyager Secondary),Madera County Superintendent of Schools,17,7501.655545475223,27876.905626678912
58727366056626,Anna McKenney Intermediate,Marysville Joint Unified,553,,27810.181725607865
58727366056774,Kynoch Elementary,Marysville Joint Unified,697,,27810.181725607865
24656316025340,Mitchell Elementary,Atwater Elementary,543,,27576.732211424747
10755981030535,Caruthers High,Caruthers Unified,672,1178.1814838790192,27553.182326088277
10755981030543,MARC High,Caruthers Unified,14,1178.1814838790192,27553.182326088277
50712666120844,Salida Middle School - Vella Campus,Salida Union Elementary,789,,27315.46656334044
10625396007413,West Park Elementary,West Park Elementary,308,4556.011923980481,27252.25009769157
10625396112387,West Park Charter Academy,West Park Elementary,278,4556.011923980481,27252.25009769157
42692296045645,Leonora Fillmore Elementary,Lompoc Unified,525,,27249.353248103085
13101320131094,Valley Academy,Imperial County Office of Education,122,3431.5203616955496,27111.428275961393
39685936042378,Nile Garden Elementary,Manteca Unified,880,2556.750166716364,27068.30282914109
24656310101402,Atwater Senior Academy,Atwater Elementary,4,,27047.02021324262
24656316025357,Mitchell Intermediate,Atwater Elementary,730,,27047.02021324262
20652430135079,Virginia Lee Rose Elementary,Madera Unified,734,69.01266144796801,27037.72947699808
42691206046015,Fesler (Isaac) Junior High,Santa Maria-Bonita,958,,26940.464541377492
