cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,pounds_chloropicrin_intersection
50712666113823,Active,No,Traditional,Elementary,Public,Dena Boer,Salida Union Elementary,Stanislaus,4801 Gold Valley Road,Salida,CA,No,1,K-5,K-5,1198.7354924099534
54105460135459,Active,Yes,Traditional,Elementary,Public,Blue Oak Academy,Tulare County Office of Education,Tulare,28050 Road 148,Visalia,CA,No,1,K-5,K-4,1193.676899060667
50710430129106,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Patricia Kay Beaver Elementary,Ceres Unified,Stanislaus,4927 Central Avenue,Ceres,CA,No,1,K-8,K-8,1189.3544457995463
50757396053136,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Turlock Junior High,Turlock Unified,Stanislaus,3951 North Walnut Road,Turlock,CA,No,1,7-8,6-8,1185.7993340700782
10621660129338,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Rutherford B. Gaston Sr. Middle,Fresno Unified,Fresno,1100 East Church Avenue,Fresno,CA,No,1,7-8,7-8,1177.8945923219155
16639416010474,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Kings River-Hardwick Elementary,Kings River-Hardwick Union Elementary,Kings,10300 Excelsior Avenue,Hanford,CA,No,1,K-8,K-8,1161.4977387847157
51714646053417,Active,No,Traditional,Elementary,Public,Lincrest Elementary,Yuba City Unified,Sutter,1400 Phillips Road,Yuba City,CA,No,1,K-5,K-5,1146.1293126996277
50710840120089,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Gratton Charter,Gratton Elementary,Stanislaus,4500 South Gratton Road,Denair,CA,Yes,2,K-8,K-8,1098.5729096382258
50710846052534,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Gratton Elementary,Gratton Elementary,Stanislaus,4500 South Gratton Road,Denair,CA,Yes,2,K-8,K-8,1098.5729096382258
15739081534155,Active,No,Traditional,High School,Public,McFarland High School Early College,McFarland Unified,Kern,259 West Sherwood Avenue,McFarland,CA,No,1,9-12,9-12,1090.9323829875448
10622656006738,Active,No,Traditional,Elementary,Public,Alta Elementary,Kings Canyon Joint Unified,Fresno,21771 East Parlier Avenue,Reedley,CA,No,1,K-5,K-5,1089.6447990187764
42692296060016,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Lompoc Valley Middle,Lompoc Unified,Santa Barbara,234 South N Street,Lompoc,CA,No,1,7-8,7-8,1086.1331231201057
15638420113167,Active,No,Traditional,Elementary,Public,Teresa Burke Elementary,Wasco Union Elementary,Kern,1301 Filburn Street,Wasco,CA,No,1,K-5,K-5,1068.0096971820217
50712666053037,Active,No,Traditional,Elementary,Public,Salida Elementary,Salida Union Elementary,Stanislaus,4519 Finney Road,Salida,CA,No,1,K-5,K-5,1042.6159809677592
54722560101857,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Oak Grove Elementary,Visalia Unified,Tulare,4445 West Ferguson Avenue,Visalia,CA,No,1,K-8,K-8,1035.4749116000025
40688096043269,Active,No,Traditional,Elementary,Public,Pacheco Elementary,San Luis Coastal Unified,San Luis Obispo,261 Cuesta Drive,San Luis Obispo,CA,No,1,P-6,K-6,1020.1880000000142
57727106066252,Active,No,Traditional,Elementary,Public,Rhoda Maxwell Elementary,Woodland Joint Unified,Yolo,50 Ashley Avenue,Woodland,CA,No,1,K-6,K-6,1001.5954168454712
39686766042550,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Elmwood Elementary,Stockton Unified,San Joaquin,840 South Cardinal Avenue,Stockton,CA,No,1,K-8,K-8,985.890735974614
54722560116517,Active,No,Traditional,Elementary,Public,Manuel F. Hernandez,Visalia Unified,Tulare,2133 North Leila Street,Visalia,CA,No,1,P-6,K-6,982.773821022657
15635786090591,Active,No,Traditional,Elementary,Public,Golden Oak Elementary,Richland Union Elementary,Kern,190 South Wall,Shafter,CA,No,1,P-6,K-6,979.5766600160099
54722310127621,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Alpine Vista,Tulare City,Tulare,2975 East Alpine Avenue,Tulare,CA,No,1,K-8,K-8,964.2250523166836
54722490116368,Active,No,Traditional,High School,Public,Mission Oak High,Tulare Joint Union High,Tulare,3442 East Bardsley Avenue,Tulare,CA,No,1,9-12,9-12,954.7374821531291
10622816006894,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Laton Middle,Laton Joint Unified,Fresno,6065 East Latonia,Laton,CA,Yes,2,6-8,6-8,954.5281678451349
10622816006902,Active,No,Traditional,Elementary,Public,Laton Elementary,Laton Joint Unified,Fresno,6065 Latonia,Laton,CA,Yes,2,K-5,K-5,954.5281678451349
58105875830112,Active,Yes,Traditional,Elementary - High Combination,Public,Yuba County Career Preparatory Charter,Yuba County Office of Education,Yuba,1104 E Street,Marysville,CA,No,1,K-12,K-12,911.212191824647
54718606112684,Active,No,Traditional,Elementary,Public,Golden Valley Elementary,Cutler-Orosi Joint Unified,Tulare,41465 Road 127,Orosi,CA,No,1,K-5,K-5,891.6023506784783
50712826108302,Active,No,Traditional,Elementary,Public,Agnes M. Baptist Elementary,Stanislaus Union Elementary,Stanislaus,1825 Cheyenne Way,Modesto,CA,No,1,K-6,K-6,887.1675868246026
