cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,pounds_chloropicrin_intersection
27661420108068,Active,No,Traditional,Elementary,Public,Boronda Meadows,Salinas City Elementary,Monterey,915 Larkin Street,Salinas,CA,No,1,K-6,K-6,1669.3343800343287
39103973930468,Active,No,County Community School,Elementary - High Combination,Public,San Joaquin County Community,San Joaquin County Office of Education,San Joaquin,2707 Transworld Drive,Stockton,CA,Yes,4,K-12,3-12,1614.2868000773194
39103973930195,Active,No,Juvenile Court School,Intermediate/Middle/Junior High - High Combination,Public,"John F. Cruikshank, Jr.",San Joaquin County Office of Education,San Joaquin,2707 Transworld Drive,Stockton,CA,Yes,4,K-12,7-12,1580.403726581932
39103976069215,Active,No,Special Education School,Elementary - High Combination,Public,San Joaquin County Special Education,San Joaquin County Office of Education,San Joaquin,2707 Transworld Drive,Stockton,CA,Yes,4,P-12,K-12,1580.403726581932
39745423990033,Active,No,Regional Occupational Center/Program,High School,Public,San Joaquin County ROCP,San Joaquin County ROP,San Joaquin,2707 Transworld Drive,Stockton,CA,Yes,4,10-12,No Data,1580.403726581932
39685770118307,Active,No,Continuation School,High School,Public,Pride Continuation,Linden Unified,San Joaquin,100 North Jack Tone Road,Stockton,CA,No,1,9-12,10-12,1575.5676901869076
50711750121129,Active,No,Traditional,High School,Public,Joseph A. Gregori High,Modesto City High,Stanislaus,3701 Pirrone Road,Modesto,CA,No,1,9-12,9-12,1562.144621553255
56725386114029,Active,No,Traditional,Elementary,Public,Norman R. Brekke Elementary,Oxnard,Ventura,"1400 Martin Luther King, Junior Drive",Oxnard,CA,No,1,K-5,K-5,1534.2377206850938
24737266025803,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Washington Elementary,Merced River Union Elementary,Merced,4402 West Oakdale Road,Winton,CA,No,1,P-8,K-8,1417.6013735407678
39685936042360,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,New Haven Elementary,Manteca Unified,San Joaquin,14600 South Austin Road,Manteca,CA,No,1,K-8,K-8,1323.9759380525356
39103973930476,Active,Yes,County Community School,Elementary - High Combination,Public,Venture Academy,San Joaquin County Office of Education,San Joaquin,2829 Transworld Drive,Stockton,CA,No,1,K-12,K-12,1293.17118003555
40687596043012,Active,No,Traditional,Elementary,Public,Branch Elementary,Lucia Mar Unified,San Luis Obispo,970 School Road,Arroyo Grande,CA,No,1,K-6,K-6,1254.8572261063314
40687596043053,Active,No,Traditional,Elementary,Public,Harloe Elementary,Lucia Mar Unified,San Luis Obispo,901 Fair Oaks Avenue,Arroyo Grande,CA,No,1,K-6,K-6,1203.6471209449708
24753666025407,Active,No,Traditional,Elementary,Public,El Capitan Elementary,Delhi Unified,Merced,10115 Fifth Street,Delhi,CA,No,1,K-6,K-6,1177.0660908400346
27738256026421,Active,No,Traditional,Intermediate/Middle/Junior High,Public,North Monterey County Middle,North Monterey County Unified,Monterey,10301 Seymour Street,Castroville,CA,No,1,7-8,7-8,1174.0220285501962
42692036045520,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Kermit McKenzie Intermediate,Guadalupe Union Elementary,Santa Barbara,4710 West Main Street,Guadalupe,CA,No,1,4-8,5-8,1056.9177457739195
39685930108613,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Veritas Elementary,Manteca Unified,San Joaquin,1600 Pagola Street,Manteca,CA,No,1,K-8,K-8,1013.3185400147157
44697996049670,Active,No,Traditional,Elementary,Public,Calabasas Elementary,Pajaro Valley Unified,Santa Cruz,202 Calabasas Road,Watsonville,CA,No,1,K-6,K-6,1007.6177731587379
10625396007413,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,West Park Elementary,West Park Elementary,Fresno,2695 South Valentine Avenue,Fresno,CA,Yes,2,P-8,K-8,911.1558617566857
10625396112387,Active,Yes,Traditional,Elementary - High Combination,Public,West Park Charter Academy,West Park Elementary,Fresno,2695 South Valentine Avenue,Fresno,CA,Yes,2,K-12,K-12,911.1558617566857
42692296045587,Active,No,Traditional,Elementary,Public,Clarence Ruth Elementary,Lompoc Unified,Santa Barbara,501 North W Street,Lompoc,CA,No,1,K-6,K-6,910.5367479948593
10621096005839,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Clay Elementary,Clay Joint Elementary,Fresno,12449 South Smith Avenue,Kingsburg,CA,No,1,K-8,K-8,780.1241142534202
15636106009732,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Maple Elementary,Maple Elementary,Kern,29161 Fresno Avenue,Shafter,CA,No,1,K-8,K-8,753.3061076634926
44697994430229,Active,Yes,Traditional,Elementary - High Combination,Public,Pacific Coast Charter,Pajaro Valley Unified,Santa Cruz,294 Green Valley Road,Watsonville,CA,No,1,K-12,1-12,710.6602694888521
54719696054126,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Kings River Elementary,Kings River Union Elementary,Tulare,3961 Avenue 400,Kingsburg,CA,No,1,K-8,K-8,648.0008124949851
27660276026108,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Graves Elementary,Graves Elementary,Monterey,15 McFadden Road,Salinas,CA,No,1,K-8,K-8,646.6049973693895
15634206009419,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Di Giorgio Elementary,Di Giorgio Elementary,Kern,19405 Buena Vista Boulevard,Arvin,CA,No,1,K-8,K-8,641.3199322668586
50712826053078,Active,No,Traditional,Elementary,Public,Stanislaus Elementary,Stanislaus Union Elementary,Stanislaus,1931 Kiernan Avenue,Modesto,CA,No,1,K-6,K-6,630.6072900125862
56724476054977,Active,No,Traditional,Elementary,Public,Olivelands Elementary,Briggs Elementary,Ventura,12465 Foothill Road,Santa Paula,CA,No,1,K-4,K-4,613.9091435053892
54722236054449,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Traver Elementary,Traver Joint Elementary,Tulare,36736 Canal Drive,Traver,CA,No,1,K-8,K-8,609.0457872542413
10624146007173,Active,No,Traditional,Elementary,Public,Lone Star Elementary,Sanger Unified,Fresno,2617 South Fowler Avenue,Fresno,CA,No,1,P-6,K-6,605.2204087403261
10624140123463,Active,No,Traditional,Elementary,Public,Sequoia Elementary,Sanger Unified,Fresno,1820 South Armstrong Avenue,Fresno,CA,No,1,P-6,K-6,517.572127913948
27738252730125,Active,No,Alternative School of Choice,Elementary - High Combination,Public,North Monterey County Center for Independent Study,North Monterey County Unified,Monterey,17500 Pesante Road,Salinas,CA,Yes,2,K-12,K-12,517.088415431396
27738252730141,Active,No,Continuation School,High School,Public,Central Bay High (Continuation),North Monterey County Unified,Monterey,17500 Pesante Road,Salinas,CA,Yes,2,9-12,10-12,517.088415431396
44697994437901,Active,No,Traditional,High School,Public,Watsonville High,Pajaro Valley Unified,Santa Cruz,250 East Beach Street,Watsonville,CA,No,1,9-12,9-12,500.62417133931547
50710685030267,Active,Yes,Traditional,Elementary - High Combination,Public,Denair Charter Academy,Denair Unified,Stanislaus,3460 Lester Road,Denair,CA,Yes,3,K-12,K-12,485.33372894658265
50710685031521,Active,No,Traditional,High School,Public,Denair High,Denair Unified,Stanislaus,3431 Lester Road,Denair,CA,Yes,3,9-12,9-12,485.33372894658265
50710686071575,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Denair Middle,Denair Unified,Stanislaus,3701 Lester Road,Denair,CA,Yes,3,6-8,6-8,485.33372894658265
42691200131623,Active,No,Traditional,Elementary,Public,Jiménez Roberto and Dr. Francisco Elementary,Santa Maria-Bonita,Santa Barbara,1970 South Biscayne Street,Santa Maria,CA,No,1,K-7,K-6,485.1193435787974
50755490116848,Active,No,Community Day School,Intermediate/Middle/Junior High,Public,Valley Community Day,Hughson Unified,Stanislaus,7419 East Whitmore,Hughson,CA,Yes,2,8-12,9-10,469.1813508412786
50755495032651,Active,No,Traditional,High School,Public,Hughson High,Hughson Unified,Stanislaus,7419 East Whitmore Avenue,Hughson,CA,Yes,2,9-12,9-12,469.1813508412786
39685026041834,Active,No,Traditional,Elementary,Public,Van Allen Elementary,Escalon Unified,San Joaquin,21051 East Highway 120,Escalon,CA,No,1,K-5,K-5,462.6279767990625
15634120100529,Active,No,Traditional,High School,Public,Cesar E. Chavez High,Delano Joint Union High,Kern,800 Browning Road,Delano,CA,No,1,9-12,9-12,445.64812551111345
10624306007280,Active,No,Traditional,Elementary,Public,Indianola Elementary,Selma Unified,Fresno,11524 East Dinuba Avenue,Selma,CA,No,1,K-6,K-6,415.40485642891974
10623316007009,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Orange Center Elementary,Orange Center,Fresno,3530 South Cherry Avenue,Fresno,CA,No,1,K-8,K-8,409.78202611679615
50755640107979,Active,No,Traditional,Elementary,Public,Sierra View Elementary,Oakdale Joint Unified,Stanislaus,1323 East J Street,Oakdale,CA,No,1,K-6,K-6,401.41737209277807
04614320433201,Active,No,Traditional,High School,Public,Durham High,Durham Unified,Butte,9455 Putney Drive,Durham,CA,Yes,3,9-12,9-12,378.53827569803855
04614326003115,Active,No,Traditional,Elementary,Public,Durham Elementary,Durham Unified,Butte,9421 Putney Drive,Durham,CA,Yes,3,K-5,K-5,378.53827569803855
04614326105761,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Durham Intermediate,Durham Unified,Butte,9416 Putney Drive,Durham,CA,Yes,3,6-8,6-8,378.53827569803855
56725465630066,Active,No,Continuation School,High School,Public,Frontier High,Oxnard Union High,Ventura,545 Airport Way,Camarillo,CA,No,1,9-12,10-12,372.4325956047643
56105616069231,Active,No,Special Education School,Elementary - High Combination,Public,Ventura County Special Education,Ventura County Office of Education,Ventura,5250 Adolfo Road,Camarillo,CA,No,1,P-12,K-12,366.79043966544646
54722560101857,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Oak Grove Elementary,Visalia Unified,Tulare,4445 West Ferguson Avenue,Visalia,CA,No,1,K-8,K-8,366.0538932764821
39685776042006,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Waverly Elementary,Linden Unified,San Joaquin,3507 Wilmarth Road,Stockton,CA,No,1,K-8,K-8,359.21749043385654
39685026070957,Active,No,Traditional,Intermediate/Middle/Junior High,Public,El Portal Middle,Escalon Unified,San Joaquin,805 First Street,Escalon,CA,No,1,6-8,6-8,352.59789709064074
56105610135780,Active,No,Special Education School,Elementary - High Combination,Public,Phoenix,Ventura County Office of Education,Ventura,500 Airport Way,Camarillo,CA,Yes,4,K-12,1-12,316.4814439099738
56105615630397,Active,No,County Community School,Intermediate/Middle/Junior High - High Combination,Public,Gateway Community,Ventura County Office of Education,Ventura,200 Horizon Circle,Camarillo,CA,Yes,4,6-12,7-12,316.4814439099738
56725460120634,Active,Yes,Traditional,High School,Public,"Architecture, Construction & Engineering Charter High (ACE)",Oxnard Union High,Ventura,570 Airport Way,Camarillo,CA,Yes,4,9-12,9-12,316.4814439099738
56746175690011,Active,No,Regional Occupational Center/Program,High School,Public,Career Education Center,Ventura County ROP,Ventura,465 Horizon Circle,Camarillo,CA,Yes,4,6-12,No Data,316.4814439099738
54722560116517,Active,No,Traditional,Elementary,Public,Manuel F. Hernandez,Visalia Unified,Tulare,2133 North Leila Street,Visalia,CA,No,1,P-6,K-6,302.0365458587202
15739080133504,Active,No,Traditional,Elementary,Public,Horizon Elementary,McFarland Unified,Kern,800 South Garzoli Avenue,McFarland,CA,No,1,K-6,K-6,285.97467104755276
50757395036884,Active,No,Continuation School,High School,Public,Roselawn High,Turlock Unified,Stanislaus,312 South Roselawn,Turlock,CA,No,1,9-12,11-12,280.2489621561938
39685776041966,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Glenwood Elementary,Linden Unified,San Joaquin,2005 North Alpine Road,Stockton,CA,No,1,K-8,K-8,273.1158408680602
39685850125369,Active,No,Special Education School,Elementary - Intermediate/Middle/Junior High Combination,Public,Turner Academy at Tokay Colony,Lodi Unified,San Joaquin,13520 East Live Oak Road,Lodi,CA,No,1,K-8,K-8,273.0968842258994
24656496025381,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Ballico-Cressey Community Charter,Ballico-Cressey Elementary,Merced,11818 Gregg Street,Ballico,CA,No,1,1-8,1-8,261.6578000667495
54718526053896,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Columbine Elementary,Columbine Elementary,Tulare,2240 Road 160,Delano,CA,No,1,K-8,K-8,260.3088667974033
56725616055529,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Rio Real Elementary,Rio Elementary,Ventura,1140 Kenney Street,Oxnard,CA,No,1,K-8,K-8,255.24651578091385
