cds_code,status,charter,ed_type,level,pb_prv_bie,school,district,county,street,city,state,stacked,stack_cnt,grades_offered,grades_served,pounds_13d_intersection
10625396007413,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,West Park Elementary,West Park Elementary,Fresno,2695 South Valentine Avenue,Fresno,CA,Yes,2,P-8,K-8,4556.011923980481
10625396112387,Active,Yes,Traditional,Elementary - High Combination,Public,West Park Charter Academy,West Park Elementary,Fresno,2695 South Valentine Avenue,Fresno,CA,Yes,2,K-12,K-12,4556.011923980481
42691200102848,Active,No,Traditional,Elementary,Public,Sanchez (David J.) Elementary,Santa Maria-Bonita,Santa Barbara,804 West Liberty Street,Santa Maria,CA,No,1,K-6,K-6,4387.717227377992
30736500116053,Active,No,Special Education School,Elementary,Public,Early Childhood Learning Center,Irvine Unified,Orange,1 Smoketree,Irvine,CA,No,1,P,K,4370.848601270201
27661910122911,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Bolsa Knolls Middle,Santa Rita Union Elementary,Monterey,1031 Rogge Road,Salinas,CA,No,1,6-8,6-8,4370.695358270274
10739990123596,Active,No,Traditional,Elementary,Public,Goldenrod Elementary,Kerman Unified,Fresno,445 South Goldenrod Avenue,Kerman,CA,No,1,K-6,K-6,4276.56579008712
24658706025829,Active,No,Traditional,Elementary,Public,Frank Sparkes Elementary,Winton,Merced,7265 West Almond Avenue,Winton,CA,No,1,K-5,K-5,4196.841331519533
24657636025589,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,McSwain Elementary,McSwain Union Elementary,Merced,922 Scott Road,Merced,CA,No,1,K-8,K-8,4145.885504825046
15635780107771,Active,No,Traditional,Elementary,Public,Sequoia Elementary,Richland Union Elementary,Kern,500 East Fresno Avenue,Shafter,CA,No,1,P-6,K-6,4135.9355880629255
24657716025621,Active,No,Traditional,Elementary,Public,Franklin Elementary,Merced City Elementary,Merced,2936 Franklin Road,Merced,CA,No,1,K-3,K-3,4080.759334987858
54719696054126,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Kings River Elementary,Kings River Union Elementary,Tulare,3961 Avenue 400,Kingsburg,CA,No,1,K-8,K-8,4022.4173430467426
54721736054399,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Sundale Elementary,Sundale Union Elementary,Tulare,13990 Avenue 240,Tulare,CA,No,1,K-8,K-8,4010.1683550579237
27661426066963,Active,No,Traditional,Elementary,Public,University Park Elementary,Salinas City Elementary,Monterey,833 West Acacia Street,Salinas,CA,No,1,K-6,K-6,4005.38415132673
42691206045959,Active,No,Traditional,Elementary,Public,Adam (William Laird) Elementary,Santa Maria-Bonita,Santa Barbara,500 West Windsor,Santa Maria,CA,No,1,K-6,K-6,3994.83062248976
50712090112383,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Paradise Charter,Paradise Elementary,Stanislaus,3361 California Avenue,Modesto,CA,Yes,2,K-8,K-8,3613.4533257386047
50712096052914,Active,No,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Paradise Elementary,Paradise Elementary,Stanislaus,3361 California Avenue,Modesto,CA,Yes,2,K-8,K-8,3613.4533257386047
33736766032361,Active,No,Traditional,Elementary,Public,Oasis Elementary,Coachella Valley Unified,Riverside,88175 74th Avenue,Thermal,CA,No,1,K-6,K-6,3612.0371866588903
50710430109074,Active,No,Traditional,Elementary,Public,Joel J. Hidahl Elementary,Ceres Unified,Stanislaus,2351 East Redwood Road,Ceres,CA,No,1,K-6,K-6,3604.4454030892293
16639416010474,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Kings River-Hardwick Elementary,Kings River-Hardwick Union Elementary,Kings,10300 Excelsior Avenue,Hanford,CA,No,1,K-8,K-8,3603.851135918974
43695836118541,Active,Yes,Traditional,Elementary - Intermediate/Middle/Junior High Combination,Public,Charter School of Morgan Hill,Morgan Hill Unified,Santa Clara,9530 Monterey Road,Morgan Hill,CA,No,1,K-8,K-8,3553.774178621965
56725120118265,Active,No,Traditional,Elementary,Public,Ocean View Early Education,Ocean View,Ventura,4600 Olds Road,Oxnard,CA,Yes,3,P,K,3510.623026556194
56725126055172,Active,No,Traditional,Elementary,Public,Mar Vista Elementary,Ocean View,Ventura,2382 Etting Road,Oxnard,CA,Yes,3,K-5,K-5,3510.623026556194
56725126084891,Active,No,Traditional,Intermediate/Middle/Junior High,Public,Ocean View Junior High,Ocean View,Ventura,4300 Olds Road,Oxnard,CA,Yes,3,6-8,6-8,3510.623026556194
20652430131086,Active,No,Community Day School,Intermediate/Middle/Junior High - High Combination,Public,Ripperdan Community Day,Madera Unified,Madera,26133 Avenue 7,Madera,CA,No,1,7-12,8-12,3507.4248850667423
